target_ticker,cik,n_filings,note
KDP,0001418135,0,no_results_all_phases
ROP,0000882835,0,no_results_all_phases
ZG,0001617640,0,no_results_all_phases
ALD,0002067715,0,no_results_all_phases
CHWY,0001766502,0,no_results_all_phases
WAB,0000943452,0,no_results_all_phases
APG,0001796209,0,no_results_all_phases
IBRX,0001326110,0,no_results_all_phases
ROP,0000882835,0,no_results_all_phases
COTY,0001024305,0,no_results_all_phases
DOV,0000029905,0,no_results_all_phases
GRND,0001820144,0,no_results_all_phases
FOR,0001406587,0,no_results_all_phases
EAF,0000931148,0,no_results_all_phases
STEM,0001758766,0,no_results_all_phases
VTR,0000740260,0,no_results_all_phases
YTRA,0001516899,0,no_results_all_phases
SYBX,0001527599,0,no_results_all_phases
RMR,0001644378,0,no_results_all_phases
DIA,0001041130,0,no_results_all_phases
OCGN,0001372299,0,no_results_all_phases
SONG,0001671132,0,no_results_all_phases
NGNE,0001404644,0,no_results_all_phases
KMDA,0001567529,0,no_results_all_phases
VNUE,0001376804,0,no_results_all_phases
TGT,0000027419,0,no_results_all_phases
SPG,0001063761,0,no_results_all_phases
IRD,0001228627,0,no_results_all_phases
MHK,0000851968,0,no_results_all_phases
RELI,0001812727,0,no_results_all_phases
SSGC,0001584693,0,no_results_all_phases
KURA,0001422143,0,no_results_all_phases
TPH,0001561680,0,no_results_all_phases
HLI,0001302215,0,no_results_all_phases
HLI,0001302215,0,no_results_all_phases
HLI,0001302215,0,no_results_all_phases
HLI,0001302215,0,no_results_all_phases
