standard_name,source_name,required,found
deal_id,deal_number,TRUE,TRUE
target_name,target_name,TRUE,TRUE
acquirer_name,acquiror_name,FALSE,TRUE
target_ticker,target_ticker_symbol,FALSE,TRUE
target_isin,target_isin_number,FALSE,TRUE
announce_date,announced_date,TRUE,TRUE
complete_date,completed_date,FALSE,TRUE
withdrawn_date,withdrawn_date,FALSE,TRUE
expected_complete_date,expected_completion_date,FALSE,TRUE
assumed_complete_date,assumed_completion_date,FALSE,TRUE
deal_status,deal_status,FALSE,TRUE
deal_type,deal_type,FALSE,TRUE
payment_method,deal_method_of_payment,FALSE,TRUE
deal_value_eur_th,deal_value_th_eur,FALSE,TRUE
offer_price_eur,offer_price_eur,FALSE,TRUE
initial_stake_pct,initial_stake_percent,FALSE,TRUE
final_stake_pct,final_stake_percent,FALSE,TRUE
target_sic,target_us_sic_code_s,FALSE,TRUE
target_exchange,target_stock_exchange_s_listed,FALSE,TRUE
acquirer_country,acquiror_country_code,FALSE,TRUE
